UniProt_id	UniProt_entry
P35968	VGFR2_HUMAN
O14746	TERT_HUMAN
Q6ZNG2	DBX2_HUMAN
P01116	RASK_HUMAN
Q9BQA1	MEP50_HUMAN
Q00169	PIPNA_HUMAN
Q8WYP3	RIN2_HUMAN
P42345	MTOR_HUMAN
P42338	PK3CB_HUMAN
Q8NDX5	PHC3_HUMAN
Q02505	MUC3A_HUMAN
P07093	GDN_HUMAN
P05154	IPSP_HUMAN
Q9BQ65	USB1_HUMAN
O75074	LRP3_HUMAN
Q13950	RUNX2_HUMAN
P02818	OSTCN_HUMAN
P01344	IGF2_HUMAN
P78380	OLR1_HUMAN
P41134	ID1_HUMAN
P01137	TGFB1_HUMAN
Q02575	HEN1_HUMAN
P15151	PVR_HUMAN
P46527	CDN1B_HUMAN
Q00535	CDK5_HUMAN
P18054	LOX12_HUMAN
Q96HZ4	HES6_HUMAN
Q99542	MMP19_HUMAN
P21579	SYT1_HUMAN
P07948	LYN_HUMAN
Q13118	KLF10_HUMAN
P01350	GAST_HUMAN
P38646	GRP75_HUMAN
Q8N8R7	AL14E_HUMAN
P43026	GDF5_HUMAN
Q9UQP3	TENN_HUMAN
Q9UM73	ALK_HUMAN
P36897	TGFR1_HUMAN
P35625	TIMP3_HUMAN
O43541	SMAD6_HUMAN
P43268	ETV4_HUMAN
Q9UKP6	UR2R_HUMAN
Q6ZMJ4	IL34_HUMAN
P08571	CD14_HUMAN
Q8IUI8	CRLF3_HUMAN
O00590	ACKR2_HUMAN
Q9NWT6	HIF1N_HUMAN
P23368	MAOM_HUMAN
Q14980	NUMA1_HUMAN
P09543	CN37_HUMAN
P23921	RIR1_HUMAN
P29965	CD40L_HUMAN
Q00987	MDM2_HUMAN
P04085	PDGFA_HUMAN
O43493	TGON2_HUMAN
P50281	MMP14_HUMAN
P61296	HAND2_HUMAN
Q92630	DYRK2_HUMAN
O00231	PSD11_HUMAN
Q86UG4	SO6A1_HUMAN
Q8N2R0	OSR2_HUMAN
O95394	AGM1_HUMAN
P49427	UB2R1_HUMAN
Q9UKV0	HDAC9_HUMAN
P03372	ESR1_HUMAN
Q92800	EZH1_HUMAN
P78318	IGBP1_HUMAN
O95278	EPM2A_HUMAN
Q8WTX7	CAST1_HUMAN
Q14318	FKBP8_HUMAN
Q9H2A3	NGN2_HUMAN
O43502	RA51C_HUMAN
P04628	WNT1_HUMAN
P35548	MSX2_HUMAN
O95343	SIX3_HUMAN
P35568	IRS1_HUMAN
Q5T0T0	MARH8_HUMAN
P54886	P5CS_HUMAN
P04053	TDT_HUMAN
Q99717	SMAD5_HUMAN
Q16878	CDO1_HUMAN
